question	answer
I like how clear the sky gets after it rains.	I feel the same way. It smells so good after it rains.
I feel the same way. It smells so good after it rains.	I especially love the night air when it rains.
I especially love the night air when it rains.	Really? Why?
Really? Why?	The stars look so much closer after it rains.
The stars look so much closer after it rains.	I really want it to rain today.
I really want it to rain today.	Yeah, So do i.
Do not you think it is nice out?	Yes, I think so too.
Yes, I think so too.	I think that it is going to rain.
I think that it is going to rain.	I hope that it does rain.
I hope that it does rain.	You like the rain?
You like the rain?	The sky looks so clean after it rains. I love it.
The sky looks so clean after it rains. I love it.	I understand. Rain does make it smell cleaner.
I understand. Rain does make it smell cleaner.	I love most how it is at night after it rains.
I love most how it is at night after it rains.	How come?
How come?	You can see the stars so much more clearly after it rains.
You can see the stars so much more clearly after it rains.	I would love for it to rain today.
I really want to go to the beach this weekend.	That sounds like fun. What is the weather going to be like?
That sounds like fun. What is the weather going to be like?	I heard that it is going to be warm this weekend.
I heard that it is going to be warm this weekend.	Is it going to be perfect beach weather?
Is it going to be perfect beach weather?	I believe so.
I believe so.	Good. I hope it does not cool off this weekend.
Good. I hope it does not cool off this weekend.	I know. I really want to go to the beach.
I know. I really want to go to the beach.	But you know that california weather is really unpredictable.
But you know that california weather is really unpredictable.	You're right. One minute it is hot, And then the next minute it is cold.
You're right. One minute it is hot, And then the next minute it is cold.	I really wish the weather would just stay the same.
I really wish the weather would just stay the same.	I do too. That way we can have our activities planned ahead of time.
I do too. That way we can have our activities planned ahead of time.	Yeah, That would make things a lot easier.
I would like to take a trip to the beach this weekend.	A trip to the beach would be fun. How is the weather going to be?
A trip to the beach would be fun. How is the weather going to be?	The forecast says that it will be warm on the weekend.
The forecast says that it will be warm on the weekend.	So do you think it'll be perfect weather for the beach?
So do you think it'll be perfect weather for the beach?	It sounds like it will be.
It sounds like it will be.	I really hope it does not get cold.
I really hope it does not get cold.	That would ruin things, I want to go so badly.
That would ruin things, I want to go so badly.	The weather in california is unpredictable, So you never know.
The weather in california is unpredictable, So you never know.	That is true. The weather is constantly changing.
That is true. The weather is constantly changing.	It would be nice if the weather would never change.
It would be nice if the weather would never change.	That would be great, Then we could plan things sooner.
That would be great, Then we could plan things sooner.	True. Predictable weather would make life easier.
It would be nice to go to the beach sometime this weekend.	What is the weather going to be like? I may want to go too.
What is the weather going to be like? I may want to go too.	The weather this weekend is supposed to be warm.
The weather this weekend is supposed to be warm.	Will it be good beach weather?
Will it be good beach weather?	I think it will be.
I think it will be.	It would not be good if it got cold this weekend.
It would not be good if it got cold this weekend.	I want this trip to be perfect, I hope it stays warm.
I want this trip to be perfect, I hope it stays warm.	This california weather is so uncertain, It is impossible to know what'll happen.
This california weather is so uncertain, It is impossible to know what'll happen.	I know. Every day the weather seems different.
I know. Every day the weather seems different.	I would love it if it wasn't always so unpredictable.
I would love it if it wasn't always so unpredictable.	That would make it easier for us to make plans.
Hello, May i speak to alice please?	This is she. How is it going?
This is she. How is it going?	I have been trying to call you all day.
I have been trying to call you all day.	Sorry about that. I was cleaning up.
Sorry about that. I was cleaning up.	It is okay.
It is okay.	So what were you calling me about?
So what were you calling me about?	Oh, I just wanted to see if you wanted to hang out tomorrow.
Oh, I just wanted to see if you wanted to hang out tomorrow.	Sure, What did you want to do?
Sure, What did you want to do?	Maybe we can go see a movie or something.
Maybe we can go see a movie or something.	That sounds like fun. Let us do it.
That sounds like fun. Let us do it.	I will see you tomorrow then.
I will see you tomorrow then.	See you then. Goodbye.
Hi, How are you. Is alice there?	Speaking. What is up?
Speaking. What is up?	Why haven't you answered the phone?
Why haven't you answered the phone?	My bad, I had chores to do.
My bad, I had chores to do.	That is all right.
That is all right.	What was the reason for your call?
What was the reason for your call?	I want to do something tomorrow with you.
I want to do something tomorrow with you.	Sounds good. What did you have in mind?
Sounds good. What did you have in mind?	I was thinking about seeing a movie.
I was thinking about seeing a movie.	Okay, Let us go see a movie.
Okay, Let us go see a movie.	Until then.
Until then.	Talk to you later.
Is alice available?	You're talking to her.
You're talking to her.	I have called you a hundred times today.
I have called you a hundred times today.	I was busy doing something. I apologize.
I was busy doing something. I apologize.	No problem.
No problem.	Did you need something?
Did you need something?	Do you want to do something tomorrow?
Do you want to do something tomorrow?	Is there somewhere special you wanted to go?
Is there somewhere special you wanted to go?	How about a movie?
How about a movie?	A movie sounds good.
A movie sounds good.	Call me tomorrow then.
Have you seen the new girl in school?	No, I haven't.
No, I haven't.	She is really pretty.
She is really pretty.	Describe her to me.
Describe her to me.	She is not too tall.
She is not too tall.	Well, How tall is she?
Well, How tall is she?	She is about five feet even.
She is about five feet even.	What does she look like, Though?
What does she look like, Though?	She has pretty light brown eyes.
She has pretty light brown eyes.	I may know which girl you're talking about.
I may know which girl you're talking about.	So you have seen her around?
So you have seen her around?	Yes, I have.
There is a new girl in school, Have you seen her yet?	I haven't seen her yet.
I haven't seen her yet.	I think that she is very pretty.
I think that she is very pretty.	Tell me how she looks.
Tell me how she looks.	She is kind of short.
She is kind of short.	What height is she?
What height is she?	She is probably about five feet.
She is probably about five feet.	That is nice, But tell me what she looks like.
That is nice, But tell me what she looks like.	The first thing i noticed was her beautiful brown eyes.
The first thing i noticed was her beautiful brown eyes.	I think i might've bumped into her before.
I think i might've bumped into her before.	Are you telling me that you've seen her before?
Are you telling me that you've seen her before?	I believe so.
Have you met the new girl?	No. Have you?
No. Have you?	She is one of the prettiest girls at the school.
She is one of the prettiest girls at the school.	What does she look like?
What does she look like?	Well, She is quite short.
Well, She is quite short.	How tall would you say that she is?
How tall would you say that she is?	I would say she is only five feet.
I would say she is only five feet.	What about her facial features?
What about her facial features?	She has light brown eyes, Absolutely beautiful.
She has light brown eyes, Absolutely beautiful.	I think i know who you're talking about.
I think i know who you're talking about.	Have you seen her?
Why weren't you at school yesterday?	I wasn't really feeling well.
I wasn't really feeling well.	What was wrong with you?
What was wrong with you?	My stomach was upset.
My stomach was upset.	Do you feel better now?
Do you feel better now?	I do not really feel too well yet.
I do not really feel too well yet.	Do you want anything to make you feel better?
Do you want anything to make you feel better?	No, Thanks. I already took some medicine.
No, Thanks. I already took some medicine.	I hope you feel better.
I hope you feel better.	Thank you.
What reason do you have for missing school?	I was sick.
I was sick.	How were you sick?
How were you sick?	I had a stomachache.
I had a stomachache.	Did it get any better?
Did it get any better?	I am still feeling under the weather.
I am still feeling under the weather.	Would you like anything for your stomach?
Would you like anything for your stomach?	I took something earlier.
I took something earlier.	Get better.
Get better.	Thanks a lot.
Why did not you go to school yesterday?	I stayed home because i wasn't feeling well.
I stayed home because i wasn't feeling well.	What was your problem?
What was your problem?	My stomach was bothering me.
My stomach was bothering me.	Are you feeling any better?
Are you feeling any better?	I am still feeling a little sick.
I am still feeling a little sick.	I am going to the store, Would you like any pepto bismol?
I am going to the store, Would you like any pepto bismol?	That is okay.
That is okay.	I hope you feel better.
Did you hear the good news?	No, I haven't.
No, I haven't.	I got a promotion at my job.
I got a promotion at my job.	Did you really?
Did you really?	Seriously, I am so excited.
Seriously, I am so excited.	Well, Congratulations.
Well, Congratulations.	Thank you.
Thank you.	I am so happy for you.
I am so happy for you.	Really?
Really?	Yes. You really deserved this.
Yes. You really deserved this.	You think so?
You think so?	Yes. Good for you.
Have you heard my good news?	You haven't told me anything yet.
You haven't told me anything yet.	I got a promotion at work earlier this week.
I got a promotion at work earlier this week.	Is that right?
Is that right?	It is the truth. I am really happy.
It is the truth. I am really happy.	Congratulations on your promotion.
Congratulations on your promotion.	Thank you very much.
Thank you very much.	I am really excited for you.
I am really excited for you.	Are you really?
Are you really?	I am serious. You deserved this promotion.
I am serious. You deserved this promotion.	Is that what you really think?
Is that what you really think?	Yes, I do.
I haven't told you what happened yet, Have i?	I haven't heard anything.
I haven't heard anything.	My boss offered me a promotion, And i took it.
My boss offered me a promotion, And i took it.	Are you serious?
Are you serious?	Yes, I am really excited.
Yes, I am really excited.	That is great. Congratulations.
That is great. Congratulations.	I appreciate that.
I appreciate that.	You have no idea how happy i am for you.
You have no idea how happy i am for you.	For real?
You look really nice today.	Thank you. I just got this outfit the other day.
Thank you. I just got this outfit the other day.	Really, Where did you get it?
Really, Where did you get it?	I got it frommacy's.
I got it frommacy's.	It is really nice.
It is really nice.	Thanks again. You look nice today, Too.
Thanks again. You look nice today, Too.	Thank you. I just got these shoes today.
Thank you. I just got these shoes today.	Really? What kind of shoes are they?
Really? What kind of shoes are they?	These are called all star chucktaylors.
These are called all star chucktaylors.	I really like those. How much did they cost?
I really like those. How much did they cost?	They were about forty dollars.
They were about forty dollars.	I think I am going to go buy myself a pair.
I absolutely love what you're wearing today.	You do? I just bought this outfit a couple days ago.
You do? I just bought this outfit a couple days ago.	Seriously, It looks really nice on you. Where did you buy it from?
Seriously, It looks really nice on you. Where did you buy it from?	I bought it from themacy's at thesanta anita mall.
I bought it from themacy's at thesanta anita mall.	I really like that outfit.
I really like that outfit.	Thanks. I think you look nice today, Too.
Thanks. I think you look nice today, Too.	Thank you. I just bought these new shoes earlier today.
Thank you. I just bought these new shoes earlier today.	Those are nice. What are they?
Those are nice. What are they?	These are some chucks.
These are some chucks.	Those are great. How much were they?
Those are great. How much were they?	I got them for forty.
I got them for forty.	I think i might go and find me my own pair of chucks.
I think that you look very cute today.	Is that right? This is a brand new outfit.
Is that right? This is a brand new outfit.	What store did you get it from?
What store did you get it from?	I went tomacy's and picked it out.
I went tomacy's and picked it out.	I love your outfit right now.
I love your outfit right now.	Well, I think you look nice today too.
Well, I think you look nice today too.	Thanks. I found these new shoes earlier at the store.
Thanks. I found these new shoes earlier at the store.	I think that those are some really nice shoes. What kind are they?
I think that those are some really nice shoes. What kind are they?	These are chucks.
These are chucks.	Your shoes look really nice. How much did you get them for?
Your shoes look really nice. How much did you get them for?	They only cost me about forty dollars.
Tell me, What do you enjoy doing in your spare time?	I enjoy drawing and painting.
I enjoy drawing and painting.	You know how to draw and paint?
You know how to draw and paint?	Yes, I do.
Yes, I do.	When did you learn how to do that?
When did you learn how to do that?	I learned back in high school.
I learned back in high school.	Oh, So you took an art class?
Oh, So you took an art class?	Yeah, I loved that class.
Yeah, I loved that class.	I see that you're pretty talented.
I see that you're pretty talented.	Thank you very much.
Thank you very much.	I wish i had a talent like that.
I wish i had a talent like that.	I am sure you have a talent. It is just hidden.
What kinds of things do you like to do?	I have always liked to draw and paint.
I have always liked to draw and paint.	I did not know you knew how to draw and paint.
I did not know you knew how to draw and paint.	I do it every once in a while.
I do it every once in a while.	How long have you known how to do that?
How long have you known how to do that?	I first learned how to do it in high school.
I first learned how to do it in high school.	Did you take some sort of art class or something?
Did you take some sort of art class or something?	That was my favorite class.
That was my favorite class.	You have got to be talented.
You have got to be talented.	Thanks.
Thanks.	If only i was talented.
If only i was talented.	You have a talent. You just do not know what it is yet.
Are there any hobbies you do?	When i have time, I sometimes draw and paint.
When i have time, I sometimes draw and paint.	Oh, You actually do that?
Oh, You actually do that?	Every so often, I do.
Every so often, I do.	Did you always know how to draw and paint?
Did you always know how to draw and paint?	I was taught in high school how to draw and paint.
I was taught in high school how to draw and paint.	You had an art class?
You had an art class?	Exactly, It was my favorite class.
Exactly, It was my favorite class.	Well, It is good that you're so talented.
Well, It is good that you're so talented.	I appreciate that.
I appreciate that.	Talent is a great thing, I wish i had one.
What is your favorite movie?	My favorite movie is superbad.
My favorite movie is superbad.	Oh, Why is that?
Oh, Why is that?	It is the funniest movie that I have ever seen.
It is the funniest movie that I have ever seen.	That is true. It is a very funny movie.
That is true. It is a very funny movie.	You've seen it before?
You've seen it before?	Yes, I saw that movie the first day it came out in theaters.
Yes, I saw that movie the first day it came out in theaters.	Did not you laugh through the whole movie? I did.
Did not you laugh through the whole movie? I did.	Me too. That movie brought tears to my eyes.
Me too. That movie brought tears to my eyes.	Mine too.
Mine too.	I have it ondvd at my house if you want to come over and watch it.
I have it ondvd at my house if you want to come over and watch it.	Sure, Let us go.
Which movie is your favorite to watch?	I have to say, My favorite movie is superbad.
I have to say, My favorite movie is superbad.	Is that right? Why?
Is that right? Why?	Honestly, It is one of the funniest movies I have seen in a long time.
Honestly, It is one of the funniest movies I have seen in a long time.	You're right. That movie is hilarious.
You're right. That movie is hilarious.	I did not think you saw that movie.
I did not think you saw that movie.	I went to see it the day it came out.
I went to see it the day it came out.	I was laughing through the whole movie.
I was laughing through the whole movie.	I couldn't help laughing, Either.
I couldn't help laughing, Either.	Same here.
Same here.	I bought the movie. Would you like to come to my house and watch it?
I bought the movie. Would you like to come to my house and watch it?	Of course.
Out of every movie that you've seen, Which one is your favorite?	I am going to have to say that superbad is the best movie ever.
I am going to have to say that superbad is the best movie ever.	You think so, How come?
You think so, How come?	Well, Superbad is super funny.
Well, Superbad is super funny.	You're not lying, I found that movie absolutely hilarious.
You're not lying, I found that movie absolutely hilarious.	I did not know that you saw superbad before.
I did not know that you saw superbad before.	I made sure to be in line to see it the first day it came out.
I made sure to be in line to see it the first day it came out.	I couldn't keep from laughing throughout the whole movie.
I couldn't keep from laughing throughout the whole movie.	I was laughing hysterically the whole time; my stomach muscles hurt afterwards.
I was laughing hysterically the whole time; my stomach muscles hurt afterwards.	That is exactly how i felt.
That is exactly how i felt.	I got the movie when it came out ondvd, Do you want to come over?
What type of music do you like to listen to?	I like listening to different kinds of music.
I like listening to different kinds of music.	Like what, For instance?
Like what, For instance?	I enjoy rock and r&b.
I enjoy rock and r&b.	Why is that?
Why is that?	I like the different instruments that they use.
I like the different instruments that they use.	That is a good reason to like something.
That is a good reason to like something.	Yeah, I think so too.
What kind of music do you enjoy listening to?	I enjoy listening to all kinds of music.
I enjoy listening to all kinds of music.	What kind?
What kind?	I like to listen to rock and r&b.
I like to listen to rock and r&b.	Why do you like that type of music?
Why do you like that type of music?	I like the kinds of instruments that they use.
I like the kinds of instruments that they use.	I think that is an excellent reason to like something.
I think that is an excellent reason to like something.	Thanks, I feel the same way.
What is your favorite kind of music?	I listen to various types of music.
I listen to various types of music.	What genres?
What genres?	I enjoy listening to both rock and r&b.
I enjoy listening to both rock and r&b.	What interests you in that type of music?
What interests you in that type of music?	I enjoy the different types of instruments that they use.
I enjoy the different types of instruments that they use.	That is a perfect reason to like a certain kind of music.
Did you go to the basketball game on friday?	No, I couldn't make it.
No, I couldn't make it.	You missed a really good game.
You missed a really good game.	Oh, Really? Who won?
Oh, Really? Who won?	Our school did. They played really well.
Our school did. They played really well.	Too bad i was busy. I really wanted to go.
Too bad i was busy. I really wanted to go.	Yeah, You should have. It was really exciting.
Yeah, You should have. It was really exciting.	So what was the score?
So what was the score?	The score was 101-98.
The score was 101-98.	Man, That was a really close game.
Man, That was a really close game.	That is what made it so great.
That is what made it so great.	I will make sure and make it to the next one.
Were you able to attend friday night's basketball game?	I was unable to make it.
I was unable to make it.	You should have been there. It was intense.
You should have been there. It was intense.	Is that right. Who ended up winning?
Is that right. Who ended up winning?	Our team was victorious.
Our team was victorious.	I wish i was free that night. I am kind of mad that i did not go.
I wish i was free that night. I am kind of mad that i did not go.	It was a great game.
It was a great game.	What was the score at the end of the game?
What was the score at the end of the game?	Our team won 101-98.
Our team won 101-98.	Sounds like it was a close game.
Sounds like it was a close game.	That is the reason it was such a great game.
That is the reason it was such a great game.	The next game, I will definitely be there.
I was meaning to ask you if you saw the basketball game on friday.	I wanted to go, But i couldn't.
I wanted to go, But i couldn't.	It was a great game.
It was a great game.	It is too bad that i couldn't make it. Who won?
It is too bad that i couldn't make it. Who won?	Our team played hard and won.
Our team played hard and won.	I really wish i went to the game.
I really wish i went to the game.	It was the best game ever.
It was the best game ever.	So tell me the final score.
So tell me the final score.	The other team lost by three points, 101-98.
The other team lost by three points, 101-98.	It must've been a close game.
It must've been a close game.	It really was. You should've gone.
What are you doing this weekend?	I am going to the movies with a friend. How about you?
I am going to the movies with a friend. How about you?	I am not sure yet.
I am not sure yet.	Well, Did you want to go see a movie with me?
Well, Did you want to go see a movie with me?	What movie are you going to see?
What movie are you going to see?	I am not sure yet. Is there something you want to see?
I am not sure yet. Is there something you want to see?	There is nothing i can think of.
There is nothing i can think of.	So, Did you want to go?
So, Did you want to go?	No, Thanks, Maybe another time.
No, Thanks, Maybe another time.	Okay, Sounds good.
Do you know what you're going to do this weekend?	I am going to see a movie with a friend of mine. What about you?
I am going to see a movie with a friend of mine. What about you?	I do not know.
I do not know.	Would you like to see a movie with me and my friend?
Would you like to see a movie with me and my friend?	Do you know what movie you're going to watch?
Do you know what movie you're going to watch?	I do not know, But was there a certain movie you wanted to see?
I do not know, But was there a certain movie you wanted to see?	None that i can think of.
None that i can think of.	Well, Would you like to go?
Well, Would you like to go?	Thank you for inviting me, But i think I will pass.
Thank you for inviting me, But i think I will pass.	All right. Another time then.
You have any ideas as to what you want to do this weekend?	I am going to the movie theater with my friend. What are you going to do?
I am going to the movie theater with my friend. What are you going to do?	I am not quite sure yet.
I am not quite sure yet.	How about you see a movie with me and my friend?
How about you see a movie with me and my friend?	What movie are you and your friend planning on watching?
What movie are you and your friend planning on watching?	Not sure. Is there a movie out that catches your eye?
Not sure. Is there a movie out that catches your eye?	No good movies come to mind.
No good movies come to mind.	Have you decided whether or not you would like to go?
Have you decided whether or not you would like to go?	No, Thanks. Maybe another time.
Did you go to school today?	Yeah, I went to school today. Were you there?
Yeah, I went to school today. Were you there?	No, I did not go, I have been sick.
No, I did not go, I have been sick.	That sucks. Did you want the assignments from english class?
That sucks. Did you want the assignments from english class?	That would be nice, Thank you.
That would be nice, Thank you.	No problem, You're welcome.
No problem, You're welcome.	I will be glad to do the same for you when you're sick.
I will be glad to do the same for you when you're sick.	Well, Thank you. I hope to see you at school tomorrow.
Have you attended school today?	I attended school today. Did you?
I attended school today. Did you?	I wasn't able to attend school because i was feeling ill.
I wasn't able to attend school because i was feeling ill.	I am sorry to hear that. Would you like the assignments from english class?
I am sorry to hear that. Would you like the assignments from english class?	I would really appreciate that, Thanks.
I would really appreciate that, Thanks.	It is no trouble at all.
It is no trouble at all.	If you get sick, I will return the favor.
If you get sick, I will return the favor.	Thanks. See you at school tomorrow if you feel better.
Have you gone to school today?	I went to school today. Did you go to school?
I went to school today. Did you go to school?	I couldn't go to school today, I was sick.
I couldn't go to school today, I was sick.	That is horrible. I would be happy to give you the assignments from english class.
That is horrible. I would be happy to give you the assignments from english class.	Thank you very much, That is kind of you.
Thank you very much, That is kind of you.	Do not mention it.
Do not mention it.	When you miss a day of school, I will be happy to give you the english assignments.
Did you hear the news?	What happened?
What happened?	Our cousin went into labor and had her baby last week.
Our cousin went into labor and had her baby last week.	She did? Why did not anyone tell me?
She did? Why did not anyone tell me?	I would've thought that somebody would have told you.
I would've thought that somebody would have told you.	No, I had no idea.
No, I had no idea.	Well, She did, Her baby was 8 pounds 6 ounces.
Well, She did, Her baby was 8 pounds 6 ounces.	Oh my god, That is great!
Oh my god, That is great!	Are you going to go and visit her and the baby?
Are you going to go and visit her and the baby?	I think that i might.
I think that i might.	Good! I just thought I would let you know.
Good! I just thought I would let you know.	Thanks for telling me.
Have you heard what happened?	Heard what?
Heard what?	Debrah already had her baby.
Debrah already had her baby.	I did not know that.
I did not know that.	I thought you knew.
I thought you knew.	I honestly did not know.
I honestly did not know.	The baby was 8 pounds 6 ounces.
The baby was 8 pounds 6 ounces.	That is good to hear.
That is good to hear.	Will you go and visit them?
Will you go and visit them?	Of course i will.
Of course i will.	I just wanted to give you the good news.
I just wanted to give you the good news.	Thanks for letting me know.
Have you heard the news?	I haven't heard anything.
I haven't heard anything.	Debrah had her baby last week.
Debrah had her baby last week.	Nobody told me.
Nobody told me.	I thought you heard.
I thought you heard.	I really wasn't told anything.
I really wasn't told anything.	She was a cute 8 pounds 6 ounces.
She was a cute 8 pounds 6 ounces.	Wow, How exciting.
Wow, How exciting.	I know, You should really go and see her and the baby.
I know, You should really go and see her and the baby.	Of course i will.
Of course i will.	I just wanted to let you know what happened.
Did you go to school today?	Of course. Did you?
Of course. Did you?	I did not want to, So i did not.
I did not want to, So i did not.	That is sad, But have you gone to the movies recently?
That is sad, But have you gone to the movies recently?	That is a switch.
That is a switch.	I am serious, Have you?
I am serious, Have you?	No, I haven't. Why?
No, I haven't. Why?	I really want to go to the movies this weekend.
I really want to go to the movies this weekend.	So go then.
So go then.	I really do not want to go by myself.
I really do not want to go by myself.	Well anyway, Do you plan on going to school tomorrow?
Well anyway, Do you plan on going to school tomorrow?	No, I think I am going to go to the movies.
Did you make it to school today?	I always do. Did you go to school today?
I always do. Did you go to school today?	No, I did not.
No, I did not.	You should have, But have you seen any movies lately?
You should have, But have you seen any movies lately?	That was an odd change of subject.
That was an odd change of subject.	Maybe it was, But answer the question.
Maybe it was, But answer the question.	No, Not recently.
No, Not recently.	I want to go to see a movie this weekend.
I want to go to see a movie this weekend.	What is stopping you then?
What is stopping you then?	I do not want to go alone.
I do not want to go alone.	So, Will you be at school tomorrow?
So, Will you be at school tomorrow?	No, I want to go to the movies instead.
Did you even bother to go to school today?	Yeah, I went. Did you go?
Yeah, I went. Did you go?	No, I did not feel like it.
No, I did not feel like it.	That is nice, Have you been to the movies lately?
That is nice, Have you been to the movies lately?	No, But that was a random change of subject.
No, But that was a random change of subject.	It may have been random, But have you?
It may have been random, But have you?	I haven't lately.
I haven't lately.	I would love to catch a movie this weekend.
I would love to catch a movie this weekend.	So then, Why do not you just go?
So then, Why do not you just go?	I do not want to see a movie by myself.
I do not want to see a movie by myself.	Okay, So are you going to school tomorrow?
Thanks for coming to see me today.	It is no problem. I was really missing you anyway.
It is no problem. I was really missing you anyway.	I missed you too.
I missed you too.	Why haven't you tried to come see me then?
Why haven't you tried to come see me then?	I have been really busy.
I have been really busy.	Doing what?
Doing what?	Working.
Working.	I would've come to see you sooner, But I have been busy too.
I would've come to see you sooner, But I have been busy too.	What have you been doing?
What have you been doing?	I have been working too.
I have been working too.	Well regardless, I am very happy that you came to see me.
Well regardless, I am very happy that you came to see me.	I am too.
I am really glad that you came to see me.	I had to. I was missing you a lot.
I had to. I was missing you a lot.	I was missing you too.
I was missing you too.	So, Why haven't you visited me?
So, Why haven't you visited me?	I have actually been busy lately.
I have actually been busy lately.	What have you been doing?
What have you been doing?	I have just been working really hard.
I have just been working really hard.	I have also been busy.
I have also been busy.	Tell me what you've been doing.
Tell me what you've been doing.	Basically, I have been working too.
Basically, I have been working too.	Well whatever, I am glad you came.
Well whatever, I am glad you came.	So am i.
I am really happy that you came to visit me.	I really missed you a lot.
I really missed you a lot.	I have been missing you like crazy.
I have been missing you like crazy.	I do not understand why you haven't come to visit me.
I do not understand why you haven't come to visit me.	Lately, I have been quite busy.
Lately, I have been quite busy.	Tell me what you've been up to.
Tell me what you've been up to.	I have really been working a lot lately.
I have really been working a lot lately.	I have been pretty busy myself.
I have been pretty busy myself.	So what have you been up to?
So what have you been up to?	I have just been working a lot.
I have just been working a lot.	Whatever the reason may be, I am glad you visited me.
Hey, Did you hear about jessica's party this weekend?	Yeah, But I am still waiting for my invitation.
Yeah, But I am still waiting for my invitation.	Oh really? She gave me mine earlier today.
Oh really? She gave me mine earlier today.	Well, She'll probably just give me my invitation later on today.
Well, She'll probably just give me my invitation later on today.	Yeah, So are you planning on going?
Yeah, So are you planning on going?	I think so. It sounds like it is going to be a lot of fun.
I think so. It sounds like it is going to be a lot of fun.	It really does, I cannot wait.
It really does, I cannot wait.	What time does the party start?
What time does the party start?	It starts at 8 o'clock.
It starts at 8 o'clock.	Oh, Well, How many people has she given invites to so far?
Oh, Well, How many people has she given invites to so far?	I am not sure, But i do not think she is given out that many.
I am not sure, But i do not think she is given out that many.	Well, Hopefully she'll give me my invite later on today.
Have you heard about jessica's party onsaturday?	I have heard about it, But I am still waiting for my invitation.
I have heard about it, But I am still waiting for my invitation.	Really? I got mine from her this morning.
Really? I got mine from her this morning.	I am guessing that she is going to give me my invite today or tomorrow.
